                wariant                                 ;            segment
                                                        ;
-1   0  rozwiniecie wewnetrzne                          ; -1  0   wewnatrz obiektu
-2   1  rozwiniecie podstawowe                          ; -2  1   w zadymieniu
-3   2  dzwig ratowniczy                                ; -3  2   w pionie drogami ogolnymi
-4   3  wew. hydrant                                    ; -4  3   w pionie dzwigiem ratowniczym
-5   4  wciaganie linii po elewacji                     ; -5  4   punkt hydrantu wewnetrznego
-6   5                                                  ; -6  5
-7   6                                                  ; -7  6
-8   7                                                  ; -8  7
-9   8  dzialanie zewn/wewn (wejscie z drabiny i wewn)  ; -9  8   na zewnatrz
-10  9  gaszenie z poziomu terenu                       ; -10 9   pozioma
-11  10  gaszenie z drabiny przystawnej                 ; -11 10  pionowa, drabina przystawna
-12  11  gaszenie z drabiny mechanicznej                ; -12 11  pionowa, drabina mech.
-13  12                                                 ; -13 12
-14  13                                                 ; -14 13
-15  14                                                 ; -15 14
-16  15  stanowiska z wysoka wydajnoscia                ; -16 15



Nazwa                   ; Opis                                                                                                                                                                            ; Liczba rot ; Czas wykonania ; W zadymienu ; Kierunek
Rozpoznanie             ; przeprowadzenie rozpoznania wstepnego (tzw. 3600 dot. budynkow wolnostojacych np. jednorodzinnych), wyznaczenie strefy zagrozenia                                               ; 1          ; 70             ; 2           ; 0
Sprawienie drabiny      ; sprawienie drabiny przystawnej typu DW10 do asekuracyji dzialan ratowniczych w odleglosci do 20 m od pojazdu pozarniczego                                                       ; 2          ; 210            ; 2           ; 0
Sprawienie drabiny      ; sprawienie drabiny przystawnej nasadkowej  (z czterech przesel) do asekuracyji dzialan ratowniczych w odleglosci do 20 m od pojazdu pozarniczego                                ; 2          ; 230            ; 2           ; 0
Sprawienie drabiny      ; sprawienie drabiny mechanicznej do kondygnacji na wys. do 12 m celem asekuracji dzialan ratowniczych.                                                                           ; 1          ; 140            ; 2           ; 0
Sprawienie drabiny      ; sprawienie drabiny mechanicznej do kondygnacji na wys. do 25 m celem asekuracji dzialan ratowniczych.                                                                           ; 1          ; 160            ; 2           ; 0
Sprawienie drabiny      ; sprawienie drabiny mechanicznej do kondygnacji na wys. do 55 m celem asekuracji dzialan ratowniczych.                                                                           ; 1          ; 380            ; 2           ; 0
Sprawienie drabiny      ; sprawienie podnosnika hydraulicznego do kondygnacji na wys. do 12 m celem asekuracji dzialan ratowniczych                                                                       ; 1          ; 230            ; 2           ; 0
Sprawienie drabiny      ; sprawienie podnosnika hydraulicznego do kondygnacji na wys. do 25 m celem asekuracji dzialan ratowniczych                                                                       ; 1          ; 260            ; 2           ; 0
Sprawienie drabiny      ; sprawienie podnosnika hydraulicznego do kondygnacji na wys. do 55 m celem asekuracji dzialan ratowniczych                                                                       ; 1          ; 460            ; 2           ; 0
Sprawienie drabiny      ; sprawienie skokochronu w odleglosci do 20 m od pojazdu pozarniczego                                                                                                             ; 1          ; 130            ; 2           ; 0
Sprawienie drabiny      ; sprawienie drabiny przystawnej typu DW10 do asekuracyji dzialan ratowniczych w odleglosci do 20 m od pojazdu pozarniczego                                                       ; 4          ; 200            ; 2           ; 0
Sprawienie drabiny      ; sprawienie drabiny przystawnej nasadkowej  (z czterech przesel) do asekuracyji dzialan ratowniczych w odleglosci do 20 m od pojazdu pozarniczego                                ; 2          ; 240            ; 2           ; 0
Sprawienie skokochronu  ; sprawienie skokochronu w odleglosci do 20 m od pojazdu pozarniczego                                                                                                             ; 1          ; 150            ; 2           ; 0
Przygotownie asekuracji ; przygotowanie roty asekuracyjnej do dzialan w strefie zagrozenia wraz z linia asekuracyjna tzw. Rote RIT                                                                        ; 1          ; 110            ; 2           ; 0
Przejscie wewnetrzne    ; dotarcie do dzwigu dla ekip ratowniczych roty wyposazonej w sprzet do tzw. rozpoznania bojem, do 20 m w drodze poziomej                                                         ; 1          ; 10             ; 2           ; 2
Przejazd dzwigiem       ; przejazd dzwigiem dla ekip ratowniczych do najwyzszej kondygnacji wg. PN-EN 81-72                                                                                               ; 1          ; 60             ; 2           ; 0
Przejscie wewnetrzne    ; poruszanie sie roty ratowniczej wewnatrz budynku (bez linii gasniczej) w drogach poziomych, praca bez zadymienia, kazde 20 m drogi                                              ; 1          ; 15             ; 0           ; 2
Przejscie wewnetrzne    ; poruszanie sie roty ratowniczej wewnatrz budynku (bez linii gasniczej) w drogach pionowych, praca bez zadymienia, na wysokosc do 12 m wysokosci budynku                         ; 1          ; 100            ; 0           ; 2
Przejscie wewnetrzne    ; poruszanie sie roty ratowniczej wewnatrz budynku (bez linii gasniczej) w drogach pionowych, praca bez zadymienia, na wysokosc do 25 m wysokosci budynku                         ; 1          ; 220            ; 0           ; 1
Przejscie wewnetrzne    ; poruszanie sie roty ratowniczej wewnatrz budynku (bez linii gasniczej) w drogach pionowych, praca bez zadymienia, na wysokosc do 55 m wysokosci budynku                         ; 1          ; 1060           ; 0           ; 1
Pokonywanie przeszkody  ; wywazenie drzwi drewnianych praca bez zadymienia                                                                                                                                ; 1          ; 80             ; 0           ; 0
Pokonywanie przeszkody  ; wywazenie drzwi antywlamaniowych praca bez zadymienia                                                                                                                           ; 1          ; 450            ; 0           ; 0
Pokonywanie przeszkody  ; wywazenie drzwi drewnianych, praca w zadymieniu                                                                                                                                 ; 1          ; 170            ; 1           ; 0
Pokonywanie przeszkody  ; wywazenie drzwi antywlamaniowych praca w zadymieniu                                                                                                                             ; 2          ; 740            ; 1           ; 0
Przejscie zewnetrzne    ; poruszanie sie roty ratowniczej na zewnatrz budynku, kazde 20 m drogi                                                                                                           ; 2          ; 10             ; 2           ; 2
Sprawienie drabiny      ; sprawienie drabiny przystawnej typu DW10 o max. wysuwie  w odleglosci do 20 m od pojazdu pozarniczego i wejscie ratownika przez otwor okienny                                   ; 2          ; 230            ; 2           ; 0
Sprawienie drabiny      ; sprawienie drabiny przystawnej nasadkowej  (z czterech przesel) w odleglosci do 20 m od pojazdu pozarniczego i wejscie ratownika przez otwor okienny                            ; 2          ; 250            ; 2           ; 0

